idCha;dateCha;titreCha;categorieSport;serie;idDiv
1;2025-11-03;championnat equipe 1;jeunes;15/18 ans F;1
2;2025-11-03;championnat equipe 2;seniors;Mixte;2
3;2025-11-03;championnat equipe 3;seniors +;Dames +65 ans;3
4;2025-11-03;championnat equipe 4;jeunes;15/18 ans G;4
5;2025-11-03;championnat equipe 5;seniors;RFFT;5
6;2025-11-03;championnat equipe 6;seniors +;Messieurs +35 ans;6
7;2025-11-03;championnat equipe 7;jeunes;RFFT Ado;7
8;2025-11-03;championnat equipe 8;seniors;RFFT;8
9;2025-11-03;championnat equipe 9;seniors +;Messieurs +45 ans;9
10;2025-11-03;championnat equipe 10;jeunes;11/14 ans G;10
11;2023-03-26;Championnat 2023;Séniors;Messieurs;2
