idCha;dateCha;titreCha;categorieSport;serie;niveau;idJ1;idJ2;score1;score2
1;2025-11-03;Championnat individuel 1;Jeune;Garçons 9 ans Vert;Départemental;1;2;12;3
2;2025-11-03;Championnat individuel 2;Jeune;Filles 11/12 ans;Départemental;3;4;12;3
3;2025-11-03;Championnat individuel 3;Séniors +;Messieurs +60 ans;Départemental;5;6;12;3
4;2025-11-03;Championnat individuel 4;Jeune;Garçons 13/14 ans;Régionnal;7;8;12;3
5;2025-11-03;Championnat individuel 5;Jeune;Filles 15/16 ans;Régionnal;9;10;12;3
6;2025-11-03;Championnat individuel 6;Séniors;Messieurs 3e série;Départemental;9;10;12;3
7;2025-11-03;Championnat individuel 7;Jeune;Filles 15/16 ans;Départemental;7;8;12;3
8;2025-11-03;Championnat individuel 8;Séniors +;Dames +60 à +65 ans;Régionnal;5;6;12;3
9;2025-11-03;Championnat individuel 9;Interne;Garçons 15/16 ans;Club;3;4;12;3
10;2025-11-03;Championnat individuel 10;interne;Garçons 15/16 ans;Club;1;2;12;3
