idE;nomE;categorieE;idDiv;rangDiv
1;equipe 1;15/18 ans F;1;1
2;equipe 2;Mixte;2;2
3;equipe 3;Dames +65 ans;3;3
4;equipe 4;15/18 ans G;4;4
5;equipe 5;RFFT;5;5
6;equipe 6;Messieurs +35 ans;6;6
7;equipe 7;RFFT Ado;7;7
8;equipe 8;RFFT;8;8
9;equipe 9;Messieurs +45 ans;9;9
10;equipe 10;11/14 ans G;10;10
11;Stade 1;Messieurs;8;6
12;Stade 2;Messieurs;1;6
13;Stade 3;Messieurs;2;1
14;Stade 4;Messieurs;3;2
15;Stade 5;Messieurs;3;3
16;Stade 6;Messieurs;6;4
17;Stade 7;Messieurs;6;5
18;Stade 8;Messieurs;6;5
19;Stade 9;Messieurs;7;5
