idCha;idE;nomAdv;resultat;score;estDomicile;dateMatch;miseAvant
1;1;equipe 10;V;7/2;True;2025-10-05;True
2;2;equipe 3;D;4/7;False;2025-10-06;False
3;3;equipe 2;V;7/4;True;2025-10-06;False
4;4;equipe 5;D;10/12;False;2025-10-08;False
5;5;equipe 4;V;12/10;True;2025-10-08;False
6;6;equipe 7;D;0/7;False;2025-10-10;False
7;7;equipe 6;V;7/0;True;2025-10-10;False
8;8;equipe 9;D;9/11;False;2025-10-12;False
9;9;equipe 8;V;11/9;True;2025-10-12;False
10;10;equipe10;D;4/5;False;2050-10-05;False
11;12;Malemort ASV;D;6/0;False;2023-03-26;False
11;12;Gradignan TC;D;6/0;True;2023-04-02;False
11;13;Rochefort SA;V;5/0;True;2023-04-02;False
11;14;Loudun TC;V;5/0;False;2023-04-02;False
11;15;Chauvigny US;V;3/2;False;2023-04-02;False
11;12;Chasseneuil TC;D;6/0;False;2023-04-16;True
11;12;Isle TC;D;5/1;True;2023-04-23;False
11;13;Neuville TC;V;4/1;False;2023-04-23;False
11;14;Raquettes du Moisson;V;3/2;True;2023-04-23;False
11;15;Isle Jourdain TC;V;3/2;True;2023-04-23;False
11;16;Ingrandes TC;V;3/1;True;2023-04-23;False
11;17;Cisse TC;D;4/0;False;2023-04-23;False
11;18;Gencay-Usson TC;N;2/2;True;2023-04-23;False
11;19;Saint Benoit TC;D;4/0;True;2023-04-23;False
11;11;TC Du 16ème;D;6/0;True;2023-04-30;False
11;12;Limoges ASPTT;D;forfait;False;2023-04-30;False
11;13;Nouaille TC;V;4/1;True;2023-04-30;False
11;14;Viliteuil TC;V;4/1;False;2023-04-30;False
11;15;Lusignan Venours TC;D;3/2;True;2023-04-30;False
11;16;Migne Auxances US;D;3/1;False;2023-04-30;False
11;17;Mirebeau TC;V;3/1;True;2023-04-30;False
11;18;Vouille TC;N;2/2;False;2023-04-30;False
11;19;Naintre TC;N;2/2;False;2023-04-30;False
11;11;SNUC Tennis;D;5/1;False;2023-05-07;False
11;13;Rochefoucauld TC;V;4/1;False;2023-05-07;False
11;14;Neuville TC;V;3/2;True;2023-05-07;False
11;15;Angouleme TCM;D;3/2;False;2023-05-07;False
11;16;Chatelleraudais Nautique TC;V;3/1;True;2023-05-07;False
11;19;Vienne et Mouliere TC;D;4/0;True;2023-05-07;False
11;11;TC De Gemenos;D;5/1;True;2023-05-14;True
11;13;Chasseneuil TC;V;3/2;True;2023-05-14;False
11;14;Fontaine LeComte TC;D;4/1;False;2023-05-14;False
11;15;Charente Limousine TC;V;4/1;True;2023-05-14;False
11;17;Vienne et Mouliere TC;D;4/0;True;2023-05-14;False
11;18;Raquette Bonnimatoise;D;3/1;False;2023-05-14;False
11;11;Neuilly (AT);D;6/0;True;2023-05-21;False
11;16;Poitiers Condorcet TC;D;3/1;False;2023-05-28;False
11;17;Chasseuneuil TC;V;4/0;False;2023-05-28;False
11;18;Chauvigny US;D;4/0;True;2023-05-28;False
11;19;Val de Boivre TC;V;3/1;False;2023-05-28;False
11;11;SC Ardresien;D;forfait;False;2023-06-04;False
11;13;16e Creche TC;V;3/2;False;2023-06-04;False
11;16;Roche Posay TC;V;3/1;True;2023-06-04;False
11;17;PEC;N;2/2;True;2023-06-04;False
11;18;Vercival TC;D;4/0;False;2023-06-04;False
11;19;Lusignan Venours TC;D;4/0;True;2023-06-04;False
