idCat;ordreCat;intituleCat;idSport;idCatParent
1;1;Adhésion Jeune né en 2008 et après;1;
2;2;Adhésion Adulte né entre 1997 et 2007;1;
3;3;Adhésion Adulte né en 1996 et avant;1;
4;4;Réservation à l'heure et Carte;1;
5;5;Réductions;1;
6;1;Réservation sans cours;1;1
7;1;Réservation sans cours;1;2
8;1;Réservation sans cours;1;3
9;2;Réservation avec cours;1;1
10;2;Réservation avec cours;1;2
11;2;Réservation avec cours;1;3
12;3;Jeune Compétition Réservation des cours 9h/semaine;1;1
13;1;Court à l'heure;1;4
14;2;Cartes membres;1;4
15;1;Participation aux compétitions par équipe en fonction du classement;1;5
16;2;Famille;1;5
17;3;Parrainage;1;5
18;1;A l'heure;2;
19;2;Abonnement;2;
20;3;Licence;2;
21;4;Location;2;
22;5;Vente;2;
23;1;Licencié club;2;19
24;2;Licencié FFT;2;19
