idCha;dateCha;titreCha;categorieSport;serie
1;2025-11-03;championnat equipe 1;jeunes;15/18 ans F
2;2025-11-03;championnat equipe 2;seniors;Mixte
3;2025-11-03;championnat equipe 3;seniors +;Dames +65 ans
4;2025-11-03;championnat equipe 4;jeunes;15/18 ans G
5;2025-11-03;championnat equipe 5;seniors;RFFT
6;2025-11-03;championnat equipe 6;seniors +;Messieurs +35 ans
7;2025-11-03;championnat equipe 7;jeunes;RFFT Ado
8;2025-11-03;championnat equipe 8;seniors;RFFT
9;2025-11-03;championnat equipe 9;seniors +;Messieurs +45 ans
10;2025-11-03;championnat equipe 10;jeunes;11/14 ans G
11;2023-03-26;Championnat 2023;Séniors;Messieurs
