idCha;dateCha;titreCha;categorieSport;serie;niveau;idJ1;idJ2;score1;score2
12;2025-11-03;Championnat individuel 1;Jeune;Garçons 9 ans Vert;Départemental;;;;
13;2025-11-03;Championnat individuel 2;Jeune;Filles 11/12 ans;Départemental;;;;
14;2025-11-03;Championnat individuel 3;Séniors +;Messieurs +60 ans;Départemental;;;;
15;2025-11-03;Championnat individuel 4;Jeune;Garçons 13/14 ans;Régionnal;;;;
16;2025-11-03;Championnat individuel 5;Jeune;Filles 15/16 ans;Régionnal;;;;
17;2025-11-03;Championnat individuel 6;Séniors;Messieurs 3e série;Départemental;;;;
18;2025-11-03;Championnat individuel 7;Jeune;Filles 15/16 ans;Départemental;;;;
19;2025-11-03;Championnat individuel 8;Séniors +;Dames +60 à +65 ans;Régionnal;;;;
20;2025-11-03;Championnat individuel 9;Interne;Garçons 15/16 ans;Club;3;4;12;3
21;2025-11-03;Championnat individuel 10;interne;Garçons 15/16 ans;Club;1;2;12;3
