idP;nomP;lien;nom_fichier;important
1;Part1;https://example.com/part1;logo.png;True
2;Part2;https://example.com/part2;logo2.png;False
3;Part3;https://example.com/part3;logo3.png;True
4;Part4;https://example.com/part4;logo4.png;False
5;Part5;https://example.com/part5;logo5.png;True
6;Part6;https://example.com/part6;logo6.png;False
7;Part7;https://example.com/part7;logo7.png;True
8;Part8;https://example.com/part8;logo8.png;False
9;Part9;https://example.com/part9;logo9.png;True
10;Part10;https://example.com/part10;logo10.png;False
